Itemno,Itembrand,Itemname,Itemprice,Itemscore,Itemshop
B244459078,LG전자,LG전화기GT-8506 집/사무용 유무선 전화기/브랜드변경 연관상품,"165,620원",후기평점 4.9점,hsa2915459
B266962807,,암밴드 스마트폰 갤럭시 LG 아이폰 JN-019 대형 팔밴드 연관상품,"12,900원",후기평점 4.6점,helung
C493676988,LG전자 트롬 공식 셀러,LG 오브제컬렉션 미니워시 4KG 네이처그린 FX4GC,"750,000원",,samjung007
C359669381,,LG엘지 냉난방겸용에어컨리모콘OD-220냉온풍기리모컨 에어컨 리모컨 에어콘,"6,300원",후기평점 4.5점,sms5949
B910257363,LG전자,15 ~ 40평형 모음 인버터 스탠드 냉난방기 PW0603R2SF 연관상품,"1,174,000원",,riversystem
B671331042,엣지월,TV 스탠드 거치대 TS-11 삼성 LG 호환 브라켓 받침대,"28,800원",후기평점 4.6점,
C642386305,LG전자 공식 셀러,LG 24TQ520SW 60cm 스마트TV HDTV 벽걸이TV /기본 스탠드형 연관상품,"249,000원",후기평점 4.9점,rjqnrtjs34
C621896539,LG전자 공식 셀러,LG전자 27TQ615SP 68cm TV겸용 스마트모니터 연관상품,"289,000원",후기평점 4.8점,rjqnrtjs34
C697230842,LG전자 공식 셀러,LG전자 24TQ510SP 60cm HD 스마트TV 벽걸이TV /기본 스탠드형 연관상품,"239,000원",후기평점 5점,rjqnrtjs34
C879792025,LG전자,LG TV 75인치 UHD 4K LED 스마트TV 에너지효율 1등급 신모델 연관상품,"1,959,000원",,e2wootechmall
C907929915,,LG 트롬 FX23VNX 트윈워시 23KG+4KG,"1,829,000원",,samjung007
A590093541,,9H강화유리 액정필름 A13 A23 A53 A33 A32 A31 A21 A51 A30 A50 A90 퀀텀 점프 와이드 엘지 아이폰14 13 12,"7,800원",후기평점 4.7점,gunho1977
A537592056,LG전자 공식 셀러,LG 24MK430H 60cm IPS 컴퓨터 모니터 광시야각 패널,"154,000원",후기평점 4.8점,abcomm
A642160885,LG전자,GT-8505 유무선전화기 (지엔텔공식대리점),"165,620원",후기평점 4.8점,thepark
C493684773,LG전자 트롬 공식 셀러,LG 오브제컬렉션 미니워시 4KG 네이처베이지 FX4EC,"750,000원",,samjung007
B456734166,,엘지 삼성세탁기 급수호스/드럼 일반통돌이 연장호수,"10,290원",후기평점 4.6점,vatel5033
A631503523,LG전자,LG전화기/브랜드변경 발신자 유선 전화기GS-461C 흰색 연관상품,"40,980원",후기평점 4.8점,hsa2915459
A671903044,LG전자,LG전자 GT-8505 유무선 전화기/브랜드변경 지엔텔,"165,620원",후기평점 4.8점,hsa2915459
B271765150,,LG 벨벳 G8 G7 V50 V40 V30 Q6 갤럭시S7 S8 S9 S10e/5g S20 S21 S22 S23 plus 노트9 8 10 20 울트라 case,"13,900원",후기평점 4.6점,comever77
C570546323,LG전자 울트라기어 공식 셀러,LG 27GP830 게이밍 모니터 144Hz 68cm IPS 27인치형,"448,900원",,abcomm
C966039726,LG전자 LG그램,LG전자 2023 그램17 17ZD90R-GX56K 인텔13세대i5 연관상품,"2,049,000원",,lknote
C861503065,,LG 트롬 F21VDLPX 트윈워시 21KG+4KG,"1,579,000원",,samjung007
C501960736,LG전자 트롬 공식 셀러,LG 트롬 미니워시 4KG 실버 FX4VC,"650,000원",,samjung007
C969053414,,FOR LG LGA-MARK7 충전식 저소음 무선마우스 C타입 USB 젠더(리시버) 2개 연관상품,"27,400원",,
C501941889,LG전자 트롬 공식 셀러,LG 트롬 미니워시 4KG 블랙 FX4KC,"700,000원",,samjung007
A952694306,LG전자,LG전자GS-493C 사무용 가정용 유선 전화기/브랜드변경,"61,470원",후기평점 4.8점,hsa2915459
C609406887,LG전자,LG TV 65인치 UHD 4K LED 스마트TV 에너지효율 1등급 신모델 연관상품,"1,409,000원",후기평점 5점,e2wootechmall
C696316981,LG전자 울트라기어 공식 셀러,LG전자 27GP830 68cm QHD 울트라기어 게이밍모니터 /구매고객 장패드 전원증정 연관상품,"448,900원",후기평점 5점,rjqnrtjs34
B509044168,LG전자 공식 셀러,LG 24MK430H IPS 24인치 LED LG모니터 연관상품,"154,000원",후기평점 4.8점,rjqnrtjs34
