Itemno,Itembrand,Itemname,Itemprice,Itemscore,Itemshop
C949169149,삼성전자 공식 셀러,삼성전자 JBL BAR 2.0 All in One MK2 사운드바 TV 홈시어터 JBLBAR20AIOM2BLKAS 가정용 거실용 스피커 연관상품,"229,000원",,SamsungJBL
C491492945,삼성전자,고객감사이벤트 삼성 공기청정기 블루스카이 큐브 CFX-B100D/C100D/D100D/G100D/H170D 호환필터 특가 모음,"9,900원",후기평점 4.8점,plund
C949145545,삼성전자 공식 셀러,삼성전자 JBL BAR 300 사운드바 5.0채널 TV 홈시어터 JBLBAR300PROBLKAS 가정용 거실용 블루투스 스피커 연관상품,"549,000원",,SamsungJBL
C361136177,삼성전자,갤럭시 S21 S20 노트20 10 Ultra Plus/핑거/링/카드/지갑/정품/범퍼/가죽/Case,"5,000원",후기평점 4.7점,appleqook3
C954261559,삼성전자 공식 셀러,삼성공식파트너 JBL WIND3S 윈드3S 라이딩 블루투스 스피커 자전거용 오토바이 핸들 마운트,"88,000원",,SamsungJBL
C422085542,삼성전자 공식 셀러,삼성공식파트너 JBL CHARGE5 고출력 휴대용 블루투스 스피커 본품 - 블랙색상 출고 연관상품,"188,000원",후기평점 4.7점,SamsungJBL
C545068250,삼성전자 공식 셀러,2022 Neo QLED TV 108cm KQ43QNB90AFXKR 스탠드형,"1,189,000원",후기평점 5점,dawonp1
C501069634,삼성전자,DB400S7B 6세대i5 램8G SSD256G 윈도우10 슬림PC 연관상품,"329,000원",후기평점 4.7점,smartcom12
C556885205,삼성전자 공식 셀러,삼성 KU75UB8070FXKR 189cm UHD 스마트 TV 스탠드형,"1,839,000원",,dawonp1
C887067494,삼성전자 공식 셀러,삼성공식파트너 JBL GO3 가성비 휴대용 무선 블루투스 스피커 IP67 방수방진 캠핑 포터블 본품-블랙 연관상품,"46,900원",후기평점 5점,SamsungJBL
C556474953,삼성전자 공식 셀러,삼성 KQ43LSB01AFXKR 108cm 더 세리프 QLED TV 화이트 연관상품,"1,219,000원",후기평점 5점,dawonp1
C949114596,삼성전자 공식 셀러,삼성전자 JBL BAR 1300 사운드바 11.1.4채널 TV 홈시어터 JBLBAR1300BLKAS 가정용 거실용 블루투스 스피커 연관상품,"1,649,000원",후기평점 4점,SamsungJBL
C868967947,삼성전자 공식 셀러,삼성공식파트너 JBL PARTYBOX ENCORE 파티박스 앙코르 블루투스 스피커 노래방 마이크 2개 포함 연관상품,"549,000원",후기평점 4.7점,SamsungJBL
A911886358,삼성전자,브랜드정품 USB메모리/삼성/LG/샌디스크/8G~64G/OTG,"19,900원",후기평점 4.8점,applefine
C634242312,삼성전자 공식 셀러,삼성공식파트너 JBL L75MS 프리미엄 올인원 뮤직 시스템 인테리어 거실 스피커 연관상품,"1,890,000원",,SamsungJBL
C556875142,삼성전자 공식 셀러,삼성 KU60UB8070FXKR 152cm UHD 스마트 TV 스탠드형,"1,179,000원",,dawonp1
C949129824,삼성전자 공식 셀러,삼성전자 JBL BAR 800 사운드바 5.1.2채널 TV 홈시어터 JBLBAR800PROBLKAS 가정용 거실용 블루투스 스피커 연관상품,"1,049,000원",,SamsungJBL
B610231650,삼성전자,예은/AP110RAPDBH1S/스탠드 냉난방기 에어컨/설치포함 서울 및 수도권 현장 방문 무료 견적 02-711-3515 연관상품,"1,949,000원",,gajunstore
C424479678,삼성전자 공식 셀러,삼성공식파트너 JBL T660NC 노이즈캔슬링 블루투스 헤드셋 연관상품,"94,890원",후기평점 4.6점,SamsungJBL
C776123069,삼성전자,데스크탑5 DM500TEA-A78A 12세대 i7 / RAM 16GB / NVMe SSD 1TB + HDD 2TB / 윈도우11홈 / 한컴오피스 연관상품,"1,549,000원",,hanulstore7
C269463519,삼성전자 공식 셀러,갤럭시 S22울트라 256GB 5G 자급제폰 공기계 SM-S908N 연관상품,"1,219,680원",후기평점 4.6점,shoma01
C753546242,삼성전자,삼성 NT371B5L 6세대 i5-6300HQ 8G SSD128G+500G 지포스920MX 2GB 15.6FHD 윈10 연관상품,"329,000원",,dodam1024
B684375632,삼성전자,블랙슬림PC 중고컴퓨터본체 샌디2세대i5 SSD장착 윈10 4세대 i5-4570 리퍼컴퓨터 무선랜 HDMI 연관상품,"224,100원",후기평점 4.2점,ecocomputer
C477351070,삼성전자,풀스펙 NT371B5J 램16G SSD512G 윈도우10 신품배터리 연관상품,"429,000원",후기평점 4.6점,smartcom12
C486852871,삼성전자 공식 셀러,SL-J1780W 컬러 잉크젯복합기 잉크포함 프린터 인쇄 복사 스캔 무선 복합기 포토후기 1만원 연관상품,"129,000원",후기평점 4.6점,incomss
A562579278,삼성전자,사무가정용 인텔i5/신품SSD A급 중고컴퓨터본체/윈10 리퍼 컴퓨터 본체 PC 1년무상 연관상품,"192,600원",후기평점 4.8점,ecocomputer
C569621037,삼성전자,삼성노트북 NT551EBE 8세대 i5 8G/256GB 윈10 중고 연관상품,"389,000원",,yellowcom
B876823891,삼성전자,삼성 NT501R5L 6세대 i5 8G SSD128 15.6FHD 윈10 중고 연관상품,"319,000원",후기평점 4.6점,dodam1024
C556577542,삼성전자 공식 셀러,삼성 KQ65LSB01AFXKR 163cm 더 세리프 QLED TV 화이트 연관상품,"2,509,000원",,dawonp1
B355736636,삼성전자 노트북3,노트북 삼성 NT371B5L i7 16G 256+500G 15.6 윈10 중고 연관상품,"459,000원",후기평점 5점,yellowcom
C634257606,삼성전자 공식 셀러,삼성공식파트너 마크레빈슨 No5909 하이엔드 프리미엄 블루투스 헤드셋 연관상품,"999,000원",후기평점 4.4점,SamsungJBL
C533001827,삼성전자,삼성 NT371B5J i5-4310M 8G SSD256G 지포스820M 윈10 연관상품,"299,000원",,dodam1024
C371568506,삼성전자 비스포크 공식 셀러,인증점 삼성 비스포크 1등급 창문형 에어컨 윈도우핏 AW05A5171TZA 베이지 물류설치 연관상품,"599,000원",후기평점 4.7점,dasomplaza
C779051493,삼성전자 공식 셀러,삼성 KQ85QB83AFXKR 214cm QLED 리얼 4K 120 Hz 스마트 TV 스탠드형,"3,719,000원",후기평점 5점,dawonp1
C307232386,삼성전자 비스포크 공식 셀러,BESPOKE 뚜껑식 김치냉장고 RP22A3531C0 Sun Yellow 메탈쿨링 커버 5면입체 메탈쿨링 연관상품,"1,049,000원",,dgtmart
B219178772,삼성전자 노트북3,중고 삼성 NT371B5L I5-6300HQ 8G SSD500G 15.6 윈10 연관상품,"359,000원",후기평점 5점,yellowcom
C595246098,삼성전자,SL-J1680 무한잉크 잉크젯 복합기 프린터기 파격초특가 연관상품,"89,800원",후기평점 4.7점,cncink
C711094645,삼성전자 공식 셀러,삼성 갤럭시워치5 프로 45mm LTE 자급제 +최대혜택가 421060+스트랩+액정강화필름 연관상품,"421,050원",후기평점 4.8점,allinfok
B573165946,삼성전자 공식 셀러,인증점 외장하드 Y3 Portable 2TB 그레이 파우치증정 연관상품,"155,000원",후기평점 4.8점,samsungext
C642577464,삼성전자 공식 셀러,SL-M3220ND 흑백레이저프린터 토너포함 +오늘출발+ 연관상품,"270,000원",후기평점 4점,clickprint
C778984702,삼성전자 공식 셀러,22년형 삼성 비스포크 제트 VS20B956D5G 무선 청소기 220W 페블 그레이 연관상품,"719,000원",후기평점 4.5점,dawonp1
C704626298,삼성전자 공식 셀러,삼성 KQ75QB75AFXKR 189cm QLED 4K TV 스탠드형,"2,279,000원",후기평점 5점,dawonp1
C326999131,삼성전자 공식 셀러,일체형PC DM530ADA-L15A 컴퓨터 데스크탑 올인원PC 윈도우11포함 연관상품,"619,000원",후기평점 4.7점,iwizcommunity
C556866794,삼성전자 공식 셀러,삼성 KU55UB8070FXKR 138cm UHD 스마트 TV 스탠드형,"1,069,000원",후기평점 3.7점,dawonp1
C672081437,삼성전자 공식 셀러,삼성 Neo QLED 8K TV KQ85QNB800FXKR 214cm,"10,662,000원",,dasomplaza
C672066506,삼성전자 공식 셀러,삼성 Neo QLED 8K TV KQ75QNB800FXKR 189cm,"7,193,400원",,dasomplaza
C543791213,삼성전자,삼성전자 마이크로 SD 카드 EVO Plus 256GB MC256KA,"20,800원",후기평점 4.8점,
B607361146,삼성전자,예은/AC145KA4PHH5SY/원형360 천장형 냉난방기/에어컨 서울 및 수도권 현장 방문 무료 견적 02-711-3515 연관상품,"2,399,000원",후기평점 5점,gajunstore
C830934625,삼성전자,삼성전자 LH43BEAHLGFXKR 비즈니스TV UHD 4K 108cm 삼성전자물류 전국무료배송 연관상품,"479,000원",후기평점 5점,ssezstore
C623707852,삼성전자 공식 셀러,SL-T2273W 무한 잉크젯 복합기 프린터기 잉크포함 +포토후기 상품권+ 오늘출발 연관상품,"299,000원",후기평점 4.8점,clickprint
B446566273,삼성전자,삼성 SL-J2160W 잉크젯복합기 무한잉크프린터 한정특가 연관상품,"199,000원",후기평점 4.9점,skgksan1
B560828878,삼성전자,삼성 SS페이퍼 A4 복사용지(A4용지) 80g 2500매 2BOX 연관상품,"44,890원",후기평점 4.8점,exxo
A778803096,삼성전자,6세대 게이밍 데스크탑 A급 중고컴퓨터본체/윈10 i5-6500 16G GTX750 리퍼 PC 연관상품,"321,200원",후기평점 4.9점,ecocomputer
B784017944,삼성전자 공식 셀러,정품 프린터토너 MLT-D111S 인증점 M2027/M2077/M2079 연관상품,"67,600원",후기평점 4.7점,samsungpartner
B670097980,삼성전자,삼성공기청정기 H13등급 프리미엄 필터 전제품 모음전,"14,900원",후기평점 4.6점,filterstore
C424473195,삼성전자 공식 셀러,삼성공식파트너 JBL T510BT 블루투스 헤드셋 3색 가성비 무선 헤드폰 연관상품,"55,900원",후기평점 4.6점,SamsungJBL
C930597126,삼성전자 공식 셀러,SL-T2170W 정품 무한 잉크젯 복합기 프린터 잉크포함 +포토후기 이벤트+ 연관상품,"269,000원",후기평점 4점,
B806553025,삼성전자 공식 셀러,SL-C513 컬러 레이저프린터 레이져 프린터 사무용 가정용 컴팩트 사이즈 토너포함S 상품권1만원 연관상품,"159,000원",후기평점 4.7점,
B765561453,삼성전자 공식 셀러,SL-C513W 가정용 컬러레이저프린터기 무선 와이파이 인쇄기 토너포함 연관상품,"199,000원",후기평점 4.7점,fitzone01
B626194277,삼성전자,삼성전자 DDR4 16G PC4-21300 메모리 램 램16기가 연관상품,"55,500원",후기평점 4.7점,kimscom0
C968048867,삼성전자,갤럭시 탭A 10.1 2019 SM-T515 중고 공기계 태블릿 WIFI + LTE S급,"169,000원",후기평점 4.3점,Helloglobal1
C533688344,삼성전자 공식 셀러,갤럭시 S22울트라 256GB 5G 자급제폰 공기계 SM-S908N 연관상품,"1,205,000원",후기평점 4.6점,shoma01
C270256492,삼성전자 공식 셀러,SL-T1672DW 잉크포함 무한잉크젯복합기/프린터기 와이파이/정부24지원 연관상품,"249,000원",후기평점 4.7점,
C359109914,삼성전자,삼성노트북 NT500R5H 3805U 8G SSD 15.6 윈10 B급중고 연관상품,"239,000원",후기평점 4.8점,yellowcom
C711092553,삼성전자 공식 셀러,삼성 갤럭시워치5 44mm LTE 자급제 +최대혜택가 300030+스트랩+액정강화필름 연관상품,"300,020원",후기평점 4.8점,allinfok
C644785499,삼성전자,A급중고 NT301V5A i5-2450M/8G/SSD256G/HD3000/15.6/WIN10 인강용 한정특가 연관상품,"198,000원",후기평점 4.7점,snssystem
C642654017,삼성전자 공식 셀러,SL-M3520DW 토너포함 흑백레이저프린터기 자동양면인쇄/와이파이/네트워크/정부24지원 연관상품,"345,000원",,sspartner
C689197484,삼성전자 공식 셀러,삼성 갤럭시 워치5 44mm 블루투스 최종가 270630원 +선물포장 +강화필름 +스트랩 연관상품,"270,630원",후기평점 4.8점,samsungonline
C433726615,삼성전자,오디세이 Neo G9 퀀텀 게이밍 모니터 S49AG950 124cm (삼성물류 안전배송) 연관상품,"1,990,000원",후기평점 5점,2248147347
C587420158,삼성전자 공식 셀러,SL-T2170W 잉크포함 무한잉크젯복합기/프린터기 자동양면인쇄/와이파이/정부24지원 연관상품,"269,000원",후기평점 4.6점,sspartner
C557467755,삼성전자 블루스카이 공식 셀러,인증점 삼성 블루스카이 AX060B510ESD 60㎡ 공기청정기 초미세먼지,"289,000원",후기평점 4.7점,dasomplaza
A887874364,삼성전자 공식 셀러,SL-M2077F 흑백 레이저복합기 프린터 인쇄 복사 스캔 자동급지 팩스 토너포함 연관상품,"199,000원",후기평점 4.9점,incomss
C596092863,삼성전자 공식 셀러,SL-T2170W 무한 잉크젯 복합기 프린터 잉크포함 (SU) / 보상판매 상품평 이벤트 신세계 3만원 연관상품,"269,000원",후기평점 4.8점,
B765832213,삼성전자 공식 셀러,(JU) SL-C563W 무선 레이저복합기 프린터 / 토너포함 /상품평이벤트 신세계 2만원 연관상품,"289,000원",후기평점 4.7점,samsunghdd
C917230543,삼성전자,삼성 오디세이 퀀텀닷 OLED G8 S34BG850 커브드 게이밍 모니터 UWQHD 86cm (안전배송-당일출고),"1,790,000원",,2248147347
C243806764,삼성전자,오디세이 G9 모니터 C49G95T 듀얼 QHD 240Hz 게이밍 (재고보유-당일출고) 연관상품,"1,670,000원",후기평점 5점,2248147347
C648313734,삼성전자 그랑데 공식 셀러,삼성 그랑데AI 드럼세탁기 WF21T6500KV 21kg 1등급 블랙,"1,009,000원",후기평점 4.5점,hanaro8118
B798515479,삼성전자,갤럭시 A30 중고폰 공기계 중고 S급 연관상품,"119,000원",후기평점 4.9점,Helloglobal1
C349885406,삼성전자 블루스카이 공식 셀러,AX57A5550WFD 전용필터(집진+펫탈취) CFX-D140D 연관상품,"83,000원",후기평점 4.4점,dgtmart
C729702107,삼성전자 비스포크,삼성 비스포크 콤팩트 오븐 NQ50T8539BW 빌트인 50L 연관상품,"948,600원",후기평점 4점,okmarket01
